player_id,player,position,school,class_level,consensus_rank,n_sources,p_round1,proj_pick,proj_mean,proj_low,proj_high,landing
p0042,Aiden Ruiz,SS,"The Stony Brook School (Long Island, NY)",HS,34,5,0.832,33,32.5,28,36,"[{'pick': 35, 'team': 'New York Yankees', 'pct': 0.15}, {'pick': 33, 'team': 'Tampa Bay Rays', 'pct': 0.12}, {'pick': 34, 'team': 'Pittsburgh Pirates', 'pct': 0.11}]"
p0036,Caden Sorrell,OF,Texas A&M,College,35,6,0.72,34,33.5,29,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.16}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.15}, {'pick': 33, 'team': 'Tampa Bay Rays', 'pct': 0.14}]"
p0024,Coleman Borthwick,RHP,"South Walton HS (Santa Rosa Beach, Fla.)",HS,36,5,0.56,34,33.6,30,37,"[{'pick': 34, 'team': 'Pittsburgh Pirates', 'pct': 0.23}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.15}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.13}]"
p0061,Ben Blair,RHP,Liberty,College,46,6,0.018,34,33.9,30,37,"[{'pick': 34, 'team': 'Pittsburgh Pirates', 'pct': 0.39}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.17}, {'pick': 32, 'team': 'St. Louis Cardinals', 'pct': 0.17}]"
p0054,Aiden Robbins,OF,Texas,College,37,6,0.518,35,34.3,31,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.22}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.18}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.17}]"
p0031,Cole Prosek,3B,"Magnolia Heights HS, Senatobia, Miss",HS,38,5,0.443,35,34.4,31,37,"[{'pick': 35, 'team': 'New York Yankees', 'pct': 0.23}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.19}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.17}]"
p0043,Chris Rembert,2B,Auburn,College,39,6,0.363,35,34.6,31,37,"[{'pick': 35, 'team': 'New York Yankees', 'pct': 0.25}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.22}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.19}]"
p0038,Tyler Spangler,SS,"De La Salle (Concord, Calif.)",HS,40,5,0.306,35,34.9,32,37,"[{'pick': 35, 'team': 'New York Yankees', 'pct': 0.26}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.25}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.22}]"
p0051,Jack Radel,RHP,Notre Dame,College,45,6,0.034,35,34.9,32,37,"[{'pick': 34, 'team': 'Pittsburgh Pirates', 'pct': 0.29}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.26}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.24}]"
p0030,Archer Horn,SS,"St. Ignatius College Prep, San Francisco",HS,41,5,0.23,36,35.1,32,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.29}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.22}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.2}]"
p0034,James Clark,SS,St. John Bosco,HS,42,5,0.162,36,35.3,33,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.3}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.24}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.22}]"
p0072,Landon Thome,SS,Nazareth Academy,HS,43,5,0.111,36,35.5,33,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.35}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.24}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.22}]"
p0039,Jensen Hirschkorn,RHP,Kingsburg HS (CA),HS,44,4,0.04,36,35.1,32,37,"[{'pick': 34, 'team': 'Pittsburgh Pirates', 'pct': 0.3}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.28}, {'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.28}]"
p0080,Andrew Williamson,OF,Central Florida,College,48,5,0.013,37,36.4,35,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.54}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.31}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.15}]"
p0032,Logan Hughes,OF,Texas Tech,College,49,6,0.008,37,36.5,35,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.62}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.25}, {'pick': 35, 'team': 'New York Yankees', 'pct': 0.12}]"
p0044,Connor Comeau,SS,"Anderson (Austin, TX)",HS,50,5,0.004,37,36.8,36,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.75}, {'pick': 36, 'team': 'Philadelphia Phillies', 'pct': 0.25}]"
p0049,Kaden Waechter,RHP,"Jesuit HS (Tampa, Fla.)",HS,47,5,0.003,37,34.7,30,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 0.67}, {'pick': 30, 'team': 'Kansas City Royals', 'pct': 0.33}]"
p0074,Will Brick,C,Christian Brothers HS (TN),HS,51,5,0.001,37,37,37,37,"[{'pick': 37, 'team': 'Colorado Rockies', 'pct': 1.0}]"
