team,n_picks,pct_college,pct_hs,pct_pitcher,pct_hitter,pb_C,pb_IF,pb_OF,pb_P,recent_first_round,position_breakdown
Detroit Tigers,11,36.4,63.6,27.3,72.7,1,5,2,3,"[{'year': 2025, 'overall': 24, 'player': 'Jordan Yost', 'position': 'SS', 'school': 'Walter L. Sickles HS', 'level': 'HS'}, {'year': 2025, 'overall': 34, 'player': 'Michael Oliveto', 'position': 'C', 'school': 'Hauppauge HS', 'level': 'HS'}, {'year': 2024, 'overall': 11, 'player': 'Bryce Rainer', 'position': 'SS', 'school': 'Harvard-Westlake HS', 'level': 'HS'}, {'year': 2023, 'overall': 3, 'player': 'Max Clark', 'position': 'OF', 'school': 'Franklin Community HS', 'level': 'HS'}, {'year': 2023, 'overall': 37, 'player': 'Kevin McGonigle', 'position': 'SS', 'school': 'Monsignor Bonner and Archbishop Prendergast HS', 'level': 'HS'}]","{'C': 1, 'IF': 5, 'OF': 2, 'P': 3}"
Houston Astros,6,83.3,16.7,0.0,100.0,2,2,2,0,"[{'year': 2025, 'overall': 21, 'player': 'Xavier Neyens', 'position': 'SS', 'school': 'Mount Vernon HS', 'level': 'HS'}, {'year': 2024, 'overall': 28, 'player': 'Walker Janek', 'position': 'C', 'school': 'Sam Houston State University', 'level': 'College'}, {'year': 2023, 'overall': 28, 'player': 'Brice Matthews', 'position': 'SS', 'school': 'University of Nebraska-Lincoln', 'level': 'College'}, {'year': 2022, 'overall': 28, 'player': 'Drew Gilbert', 'position': 'OF', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2019, 'overall': 32, 'player': 'Korey Lee', 'position': 'C', 'school': 'University of California, Berkeley', 'level': 'College'}]","{'C': 2, 'IF': 2, 'OF': 2, 'P': 0}"
Kansas City Royals,13,61.5,38.5,53.8,46.2,1,3,2,7,"[{'year': 2025, 'overall': 23, 'player': 'Sean Gamble', 'position': 'OF', 'school': 'IMG Academy', 'level': 'HS'}, {'year': 2025, 'overall': 28, 'player': 'Josh Hammond', 'position': 'SS', 'school': 'Wesleyan Christian Academy', 'level': 'HS'}, {'year': 2024, 'overall': 6, 'player': 'Jac Caglianone', 'position': 'TWP', 'school': 'University of Florida', 'level': 'College'}, {'year': 2023, 'overall': 8, 'player': 'Blake Mitchell', 'position': 'C', 'school': 'Sinton HS', 'level': 'HS'}, {'year': 2022, 'overall': 9, 'player': 'Gavin Cross', 'position': 'OF', 'school': 'Virginia Polytechnic Institute and State University', 'level': 'College'}]","{'C': 1, 'IF': 3, 'OF': 2, 'P': 7}"
Los Angeles Angels,8,87.5,12.5,37.5,62.5,0,4,1,3,"[{'year': 2025, 'overall': 2, 'player': 'Tyler Bremner', 'position': 'P', 'school': 'University of California, Santa Barbara', 'level': 'College'}, {'year': 2024, 'overall': 8, 'player': 'Christian Moore', 'position': '2B', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2023, 'overall': 11, 'player': 'Nolan Schanuel', 'position': '1B', 'school': 'Florida Atlantic University', 'level': 'College'}, {'year': 2022, 'overall': 13, 'player': 'Zach Neto', 'position': 'SS', 'school': 'Campbell University', 'level': 'College'}, {'year': 2021, 'overall': 9, 'player': 'Sam Bachman', 'position': 'P', 'school': 'Miami University of Ohio', 'level': 'College'}]","{'C': 0, 'IF': 4, 'OF': 1, 'P': 3}"
Los Angeles Dodgers,9,55.6,44.4,44.4,55.6,0,3,2,4,"[{'year': 2025, 'overall': 40, 'player': 'Zach Root', 'position': 'P', 'school': 'University of Arkansas', 'level': 'College'}, {'year': 2025, 'overall': 41, 'player': 'Charles Davalan', 'position': 'OF', 'school': 'University of Arkansas', 'level': 'College'}, {'year': 2024, 'overall': 23, 'player': 'Kellon Lindsey', 'position': 'SS', 'school': 'Hardee HS', 'level': 'HS'}, {'year': 2023, 'overall': 36, 'player': 'Kendall George', 'position': 'OF', 'school': 'Atascocita HS', 'level': 'HS'}, {'year': 2021, 'overall': 29, 'player': 'Maddux Bruns', 'position': 'P', 'school': 'UMS-Wright Prep', 'level': 'HS'}]","{'C': 0, 'IF': 3, 'OF': 2, 'P': 4}"
Miami Marlins,12,50.0,50.0,25.0,75.0,1,3,5,3,"[{'year': 2025, 'overall': 7, 'player': 'Aiva Arquette', 'position': 'SS', 'school': 'Oregon State University', 'level': 'College'}, {'year': 2025, 'overall': 43, 'player': 'Cam Cannarella', 'position': 'OF', 'school': 'Clemson University', 'level': 'College'}, {'year': 2024, 'overall': 16, 'player': 'PJ Morlando', 'position': 'OF', 'school': 'Summerville HS', 'level': 'HS'}, {'year': 2023, 'overall': 10, 'player': 'Noble Meyer', 'position': 'P', 'school': 'Jesuit HS', 'level': 'HS'}, {'year': 2023, 'overall': 35, 'player': 'Thomas White', 'position': 'P', 'school': 'Phillips Academy Andover', 'level': 'HS'}]","{'C': 1, 'IF': 3, 'OF': 5, 'P': 3}"
Milwaukee Brewers,12,66.7,33.3,16.7,83.3,0,7,3,2,"[{'year': 2025, 'overall': 20, 'player': 'Andrew Fischer', 'position': '3B', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2025, 'overall': 32, 'player': 'Brady Ebel', 'position': 'SS', 'school': 'Corona HS', 'level': 'HS'}, {'year': 2024, 'overall': 17, 'player': 'Braylon Payne', 'position': 'OF', 'school': 'Lawrence E. Elkins HS', 'level': 'HS'}, {'year': 2024, 'overall': 34, 'player': 'Blake Burke', 'position': '1B', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2023, 'overall': 18, 'player': 'Brock Wilken', 'position': '3B', 'school': 'Wake Forest University', 'level': 'College'}]","{'C': 0, 'IF': 7, 'OF': 3, 'P': 2}"
Minnesota Twins,13,61.5,38.5,23.1,76.9,0,7,3,3,"[{'year': 2025, 'overall': 16, 'player': 'Marek Houston', 'position': 'SS', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2025, 'overall': 36, 'player': 'Riley Quick', 'position': 'P', 'school': 'University of Alabama', 'level': 'College'}, {'year': 2024, 'overall': 21, 'player': 'Kaelen Culpepper', 'position': 'SS', 'school': 'Kansas State University', 'level': 'College'}, {'year': 2024, 'overall': 33, 'player': 'Kyle DeBarge', 'position': 'SS', 'school': 'University of Louisiana at Lafayette', 'level': 'College'}, {'year': 2023, 'overall': 5, 'player': 'Walker Jenkins', 'position': 'OF', 'school': 'South Brunswick HS', 'level': 'HS'}]","{'C': 0, 'IF': 7, 'OF': 3, 'P': 3}"
New York Mets,9,44.4,55.6,22.2,77.8,1,3,3,2,"[{'year': 2025, 'overall': 38, 'player': 'Mitch Voit', 'position': 'TWP', 'school': 'University of Michigan', 'level': 'College'}, {'year': 2024, 'overall': 19, 'player': 'Carson Benge', 'position': 'OF', 'school': 'Oklahoma State University', 'level': 'College'}, {'year': 2023, 'overall': 32, 'player': 'Colin Houck', 'position': 'SS', 'school': 'Parkview HS', 'level': 'HS'}, {'year': 2022, 'overall': 11, 'player': 'Kevin Parada', 'position': 'C', 'school': 'Georgia Institute of Technology', 'level': 'College'}, {'year': 2022, 'overall': 14, 'player': 'Jett Williams', 'position': 'SS', 'school': 'Rockwall-Heath HS', 'level': 'HS'}]","{'C': 1, 'IF': 3, 'OF': 3, 'P': 2}"
New York Yankees,9,55.6,44.4,22.2,77.8,2,4,1,2,"[{'year': 2025, 'overall': 39, 'player': 'Dax Kilby', 'position': 'SS', 'school': 'Newnan HS', 'level': 'HS'}, {'year': 2024, 'overall': 26, 'player': 'Ben Hess', 'position': 'P', 'school': 'University of Alabama', 'level': 'College'}, {'year': 2023, 'overall': 26, 'player': 'George Lombard Jr.', 'position': 'SS', 'school': 'Gulliver Preparatory School', 'level': 'HS'}, {'year': 2022, 'overall': 25, 'player': 'Spencer Jones', 'position': 'OF', 'school': 'Vanderbilt University', 'level': 'College'}, {'year': 2021, 'overall': 20, 'player': 'Trey Sweeney', 'position': 'SS', 'school': 'Eastern Illinois University', 'level': 'College'}]","{'C': 2, 'IF': 4, 'OF': 1, 'P': 2}"
