player_id,player,stat_type,avg,obp,slg,ops,hr,rbi,sb,era,whip,k_9,bb_9,ip,w,sv
p0118,Ethan Norby,PITCHER,,,,,,,,4.08,1.31,13.00,2.78,90.1,7,1
p0134,Kyle Jones,BATTER,.317,.424,.478,.901,6,46,17,,,,,,,
p0157,Camden Kozeal,BATTER,.318,.410,.653,1.063,20,71,1,,,,,,,
p0117,Tyson LeBlanc,BATTER,.341,.425,.706,1.131,25,69,11,,,,,,,
p0235,Beau Bryans,PITCHER,,,,,,,,3.66,1.46,10.58,5.83,66.1,7,0
p0179,Tre Phelps,BATTER,.348,.472,.628,1.100,19,59,8,,,,,,,
p0128,Carson Kerce,BATTER,.384,.473,.679,1.152,11,51,2,,,,,,,
p0170,Carson Wiggins,BATTER,.000,.250,.000,.250,0,0,0,,,,,,,
p0092,Trey Beard,PITCHER,,,,,,,,4.50,1.25,12.84,3.18,68.0,6,1
p0108,Tommy LaPour,PITCHER,,,,,,,,6.35,1.65,9.00,5.29,17.0,1,0
p0056,Henry Ford,BATTER,.293,.364,.603,.968,20,57,3,,,,,,,
p0136,Nathan Taylor,PITCHER,,,,,,,,3.60,1.19,11.50,2.70,90.0,7,0
p0202,Ryan Marohn,PITCHER,,,,,,,,3.18,1.18,12.22,4.34,45.1,6,0
p0125,Kade Lewis,BATTER,.354,.452,.592,1.044,13,58,7,,,,,,,
p0098,Kyle Johnson,BATTER,.241,.389,.500,.889,7,29,1,,,,,,,
p0105,Gavin Gallaher,BATTER,.291,.386,.484,.871,12,64,8,,,,,,,
p0169,Tyler Fay,PITCHER,,,,,,,,4.37,1.06,10.57,2.10,103.0,11,0
p0120,Jaxon Willits,BATTER,.313,.416,.515,.931,7,55,6,,,,,,,
p0164,Garrett Wright,BATTER,.348,.443,.594,1.037,9,30,3,,,,,,,
p0143,Eric Segura,PITCHER,,,,,,,,2.22,1.14,10.11,3.33,73.0,6,0
p0188,Maxx Yehl,PITCHER,,,,,,,,2.13,1.07,10.39,2.41,97.0,9,0
p0115,Tate McKee,PITCHER,,,,,,,,4.15,1.40,11.40,4.50,78.0,9,0
p0095,Lucas Moore,BATTER,.286,.434,.406,.839,4,35,37,,,,,,,
p0158,Dawson Montesa,PITCHER,,,,,,,,5.38,1.43,10.75,5.14,77.0,6,1
p0192,Alex Hernandez,BATTER,.343,.457,.576,1.033,13,57,2,,,,,,,
p0155,Carson Bailey,PITCHER,,,,,,,,1.90,0.89,9.13,1.52,23.2,2,0
p0123,LJ Mercurius,PITCHER,,,,,,,,4.43,1.22,11.08,2.90,83.1,7,4
p0185,Aidan Knaak,PITCHER,,,,,,,,5.81,1.64,13.81,3.61,57.1,2,0
p0201,Dalton Wentz,BATTER,.306,.417,.629,1.046,18,52,2,,,,,,,
p0109,Cameron Johnson,BATTER,.298,.401,.478,.879,9,48,31,,,,,,,
p0173,Ryan Cooney,BATTER,.331,.420,.524,.944,8,43,13,,,,,,,
p0225,Jaxon Jelkin,PITCHER,,,,,,,,4.08,1.14,9.80,1.90,97.0,8,1
p0197,Deiten LaChance,BATTER,.327,.404,.609,1.012,18,69,2,,,,,,,
p0214,Alex Conover,BATTER,.357,.473,.625,1.098,14,37,16,,,,,,,
p0175,Carson Jasa,PITCHER,,,,,,,,3.59,1.29,12.00,4.80,87.2,10,0
p0210,Brayden Dowd,BATTER,.293,.458,.527,.986,10,36,10,,,,,,,
p0111,Caden Ferraro,BATTER,.374,.489,.604,1.093,8,46,0,,,,,,,
p0151,Dominic Voegele,PITCHER,,,,,,,,5.85,1.40,11.13,3.25,97.0,6,0
p0217,Russell Sandefer,PITCHER,,,,,,,,4.42,1.30,9.47,3.47,57.0,3,0
p0227,Steele Murdock,PITCHER,,,,,,,,5.23,1.57,12.65,5.59,74.0,4,0
p0228,Robbie Lavey,BATTER,.339,.462,.526,.988,8,37,4,,,,,,,
p0218,Duncan Marsten,PITCHER,,,,,,,,4.74,1.23,11.53,4.26,57.0,4,0
p0208,Rylan Lujo,BATTER,.357,.434,.629,1.063,14,49,13,,,,,,,
p0140,Braden Holcomb,BATTER,.352,.434,.621,1.055,14,54,6,,,,,,,
p0132,Owen Kramkowski,PITCHER,,,,,,,,6.13,1.57,9.38,1.88,72.0,1,0
p0204,Deven Sheerin,PITCHER,,,,,,,,4.78,1.27,13.90,4.30,37.2,3,5
p0223,John Abraham,PITCHER,,,,,,,,1.91,1.19,11.11,4.60,47.0,1,6
p0221,Dylan Vigue,PITCHER,,,,,,,,4.43,1.37,11.00,5.14,63.0,4,0
p0146,Maddox Molony,BATTER,.233,.343,.452,.795,12,39,3,,,,,,,
p0087,Brady Ballinger,BATTER,.283,.412,.466,.879,7,45,1,,,,,,,
p0100,Blake Morningstar,PITCHER,,,,,,,,8.61,1.63,10.71,3.96,38.2,2,1
p0231,Trevor Hansen,PITCHER,,,,,,,,4.94,1.32,10.98,3.20,78.1,7,0
p0103,Nathan Aceves,PITCHER,,,,,,,,4.18,1.25,9.60,3.76,64.2,4,0
