draft_id,draft_name,author,saved_at,mode,seed,picks_json,upvotes,downvotes
3246c675,test,test,2026-06-25 17:42 UTC,realistic,1,"[{""pick"": 1, ""team"": ""Chicago White Sox"", ""player"": ""Roch Cholowsky"", ""position"": ""SS"", ""school"": ""UCLA"", ""consensus_rank"": 1}, {""pick"": 2, ""team"": ""Tampa Bay Rays"", ""player"": ""Grady Emerson"", ""position"": ""SS"", ""school"": ""Fort Worth Christian"", ""consensus_rank"": 2}, {""pick"": 3, ""team"": ""Minnesota Twins"", ""player"": ""Vahn Lackey"", ""position"": ""C"", ""school"": ""Georgia Tech"", ""consensus_rank"": 3}, {""pick"": 4, ""team"": ""San Francisco Giants"", ""player"": ""Jackson Flora"", ""position"": ""RHP"", ""school"": ""UC Santa Barbara"", ""consensus_rank"": 4}, {""pick"": 5, ""team"": ""Pittsburgh Pirates"", ""player"": ""Eric Booth Jr."", ""position"": ""OF"", ""school"": ""Oak Grove"", ""consensus_rank"": 5}, {""pick"": 6, ""team"": ""Kansas City Royals"", ""player"": ""Drew Burress"", ""position"": ""OF"", ""school"": ""Georgia Tech"", ""consensus_rank"": 6}, {""pick"": 7, ""team"": ""Baltimore Orioles"", ""player"": ""Jacob Lombard"", ""position"": ""SS"", ""school"": ""Gulliver Prep (Pinecrest, Fla.)"", ""consensus_rank"": 7}, {""pick"": 8, ""team"": ""Athletics"", ""player"": ""Ryder Helfrick"", ""position"": ""C"", ""school"": ""Arkansas"", ""consensus_rank"": 11}, {""pick"": 9, ""team"": ""Atlanta Braves"", ""player"": ""Cameron Flukey"", ""position"": ""RHP"", ""school"": ""Coastal Carolina"", ""consensus_rank"": 8}, {""pick"": 10, ""team"": ""Colorado Rockies"", ""player"": ""Liam Peterson"", ""position"": ""RHP"", ""school"": ""Florida"", ""consensus_rank"": 9}, {""pick"": 11, ""team"": ""Washington Nationals"", ""player"": ""Justin Lebron"", ""position"": ""SS"", ""school"": ""Alabama"", ""consensus_rank"": 10}, {""pick"": 12, ""team"": ""Los Angeles Angels"", ""player"": ""Chris Hacopian"", ""position"": ""2B"", ""school"": ""Texas A&M"", ""consensus_rank"": 13}, {""pick"": 13, ""team"": ""St. Louis Cardinals"", ""player"": ""Jared Grindlinger"", ""position"": ""LHP"", ""school"": ""Huntington Beach"", ""consensus_rank"": 12}, {""pick"": 14, ""team"": ""Miami Marlins"", ""player"": ""Derek Curiel"", ""position"": ""OF"", ""school"": ""LSU"", ""consensus_rank"": 14}, {""pick"": 15, ""team"": ""Arizona Diamondbacks"", ""player"": ""Gio Rojas"", ""position"": ""LHP"", ""school"": ""Stoneman Douglas HS (Parkland, Fla.)"", ""consensus_rank"": 15}, {""pick"": 16, ""team"": ""Texas Rangers"", ""player"": ""AJ Gracia"", ""position"": ""OF"", ""school"": ""Virginia"", ""consensus_rank"": 17}, {""pick"": 17, ""team"": ""Houston Astros"", ""player"": ""Eric Becker"", ""position"": ""SS"", ""school"": ""Virginia"", ""consensus_rank"": 19}, {""pick"": 18, ""team"": ""Cincinnati Reds"", ""player"": ""Tyler Bell"", ""position"": ""SS"", ""school"": ""Kentucky"", ""consensus_rank"": 16}, {""pick"": 19, ""team"": ""Cleveland Guardians"", ""player"": ""Sawyer Strosnider"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 18}, {""pick"": 20, ""team"": ""Boston Red Sox"", ""player"": ""Cole Carlon"", ""position"": ""LHP"", ""school"": ""Arizona State"", ""consensus_rank"": 20}, {""pick"": 21, ""team"": ""San Diego Padres"", ""player"": ""Hunter Dietz"", ""position"": ""LHP"", ""school"": ""Arkansas"", ""consensus_rank"": 21}, {""pick"": 22, ""team"": ""Detroit Tigers"", ""player"": ""Cade Townsend"", ""position"": ""RHP"", ""school"": ""Mississippi"", ""consensus_rank"": 22}, {""pick"": 23, ""team"": ""Chicago Cubs"", ""player"": ""Logan Reddemann"", ""position"": ""RHP"", ""school"": ""UCLA"", ""consensus_rank"": 23}, {""pick"": 24, ""team"": ""Seattle Mariners"", ""player"": ""Trevor Condon"", ""position"": ""OF"", ""school"": ""Etowah"", ""consensus_rank"": 24}, {""pick"": 25, ""team"": ""Milwaukee Brewers"", ""player"": ""Ace Reese"", ""position"": ""3B"", ""school"": ""Mississippi State"", ""consensus_rank"": 25}, {""pick"": 26, ""team"": ""Atlanta Braves"", ""player"": ""Tegan Kuhns"", ""position"": ""RHP"", ""school"": ""Tennessee"", ""consensus_rank"": 27}, {""pick"": 27, ""team"": ""New York Mets"", ""player"": ""Bo Lowrance"", ""position"": ""3B"", ""school"": ""Christ Church Episcopal"", ""consensus_rank"": 28}, {""pick"": 28, ""team"": ""Houston Astros"", ""player"": ""Logan Schmidt"", ""position"": ""LHP"", ""school"": ""Ganesha"", ""consensus_rank"": 30}, {""pick"": 29, ""team"": ""San Francisco Giants"", ""player"": ""Carson Bolemon"", ""position"": ""LHP"", ""school"": ""Southside Christian HS (SC)"", ""consensus_rank"": 26}, {""pick"": 30, ""team"": ""Kansas City Royals"", ""player"": ""Zion Rose"", ""position"": ""OF"", ""school"": ""Louisville"", ""consensus_rank"": 29}, {""pick"": 31, ""team"": ""Arizona Diamondbacks"", ""player"": ""Aiden Ruiz"", ""position"": ""SS"", ""school"": ""The Stony Brook"", ""consensus_rank"": 34}, {""pick"": 32, ""team"": ""St. Louis Cardinals"", ""player"": ""Chase Brunson"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 31}, {""pick"": 33, ""team"": ""Tampa Bay Rays"", ""player"": ""Chris Rembert"", ""position"": ""2B"", ""school"": ""Auburn"", ""consensus_rank"": 35}, {""pick"": 34, ""team"": ""Pittsburgh Pirates"", ""player"": ""Will Brick"", ""position"": ""C"", ""school"": ""Christian Brothers Academy"", ""consensus_rank"": 36}, {""pick"": 35, ""team"": ""New York Yankees"", ""player"": ""Brody Bumila"", ""position"": ""LHP"", ""school"": ""Bishop Feehan HS (Attleboro, Mass.)"", ""consensus_rank"": 33}, {""pick"": 36, ""team"": ""Philadelphia Phillies"", ""player"": ""Mason Edwards"", ""position"": ""LHP"", ""school"": ""USC"", ""consensus_rank"": 32}, {""pick"": 37, ""team"": ""Colorado Rockies"", ""player"": ""Caden Sorrell"", ""position"": ""OF"", ""school"": ""Texas A&M"", ""consensus_rank"": 38}]",1,1
e159ed10,test,test,2026-06-25 17:42 UTC,realistic,1,"[{""pick"": 1, ""team"": ""Chicago White Sox"", ""player"": ""Roch Cholowsky"", ""position"": ""SS"", ""school"": ""UCLA"", ""consensus_rank"": 1}, {""pick"": 2, ""team"": ""Tampa Bay Rays"", ""player"": ""Grady Emerson"", ""position"": ""SS"", ""school"": ""Fort Worth Christian"", ""consensus_rank"": 2}, {""pick"": 3, ""team"": ""Minnesota Twins"", ""player"": ""Vahn Lackey"", ""position"": ""C"", ""school"": ""Georgia Tech"", ""consensus_rank"": 3}, {""pick"": 4, ""team"": ""San Francisco Giants"", ""player"": ""Jackson Flora"", ""position"": ""RHP"", ""school"": ""UC Santa Barbara"", ""consensus_rank"": 4}, {""pick"": 5, ""team"": ""Pittsburgh Pirates"", ""player"": ""Eric Booth Jr."", ""position"": ""OF"", ""school"": ""Oak Grove"", ""consensus_rank"": 5}, {""pick"": 6, ""team"": ""Kansas City Royals"", ""player"": ""Drew Burress"", ""position"": ""OF"", ""school"": ""Georgia Tech"", ""consensus_rank"": 6}, {""pick"": 7, ""team"": ""Baltimore Orioles"", ""player"": ""Jacob Lombard"", ""position"": ""SS"", ""school"": ""Gulliver Prep (Pinecrest, Fla.)"", ""consensus_rank"": 7}, {""pick"": 8, ""team"": ""Athletics"", ""player"": ""Ryder Helfrick"", ""position"": ""C"", ""school"": ""Arkansas"", ""consensus_rank"": 11}, {""pick"": 9, ""team"": ""Atlanta Braves"", ""player"": ""Cameron Flukey"", ""position"": ""RHP"", ""school"": ""Coastal Carolina"", ""consensus_rank"": 8}, {""pick"": 10, ""team"": ""Colorado Rockies"", ""player"": ""Liam Peterson"", ""position"": ""RHP"", ""school"": ""Florida"", ""consensus_rank"": 9}, {""pick"": 11, ""team"": ""Washington Nationals"", ""player"": ""Justin Lebron"", ""position"": ""SS"", ""school"": ""Alabama"", ""consensus_rank"": 10}, {""pick"": 12, ""team"": ""Los Angeles Angels"", ""player"": ""Chris Hacopian"", ""position"": ""2B"", ""school"": ""Texas A&M"", ""consensus_rank"": 13}, {""pick"": 13, ""team"": ""St. Louis Cardinals"", ""player"": ""Jared Grindlinger"", ""position"": ""LHP"", ""school"": ""Huntington Beach"", ""consensus_rank"": 12}, {""pick"": 14, ""team"": ""Miami Marlins"", ""player"": ""Derek Curiel"", ""position"": ""OF"", ""school"": ""LSU"", ""consensus_rank"": 14}, {""pick"": 15, ""team"": ""Arizona Diamondbacks"", ""player"": ""Gio Rojas"", ""position"": ""LHP"", ""school"": ""Stoneman Douglas HS (Parkland, Fla.)"", ""consensus_rank"": 15}, {""pick"": 16, ""team"": ""Texas Rangers"", ""player"": ""AJ Gracia"", ""position"": ""OF"", ""school"": ""Virginia"", ""consensus_rank"": 17}, {""pick"": 17, ""team"": ""Houston Astros"", ""player"": ""Eric Becker"", ""position"": ""SS"", ""school"": ""Virginia"", ""consensus_rank"": 19}, {""pick"": 18, ""team"": ""Cincinnati Reds"", ""player"": ""Tyler Bell"", ""position"": ""SS"", ""school"": ""Kentucky"", ""consensus_rank"": 16}, {""pick"": 19, ""team"": ""Cleveland Guardians"", ""player"": ""Sawyer Strosnider"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 18}, {""pick"": 20, ""team"": ""Boston Red Sox"", ""player"": ""Cole Carlon"", ""position"": ""LHP"", ""school"": ""Arizona State"", ""consensus_rank"": 20}, {""pick"": 21, ""team"": ""San Diego Padres"", ""player"": ""Hunter Dietz"", ""position"": ""LHP"", ""school"": ""Arkansas"", ""consensus_rank"": 21}, {""pick"": 22, ""team"": ""Detroit Tigers"", ""player"": ""Cade Townsend"", ""position"": ""RHP"", ""school"": ""Mississippi"", ""consensus_rank"": 22}, {""pick"": 23, ""team"": ""Chicago Cubs"", ""player"": ""Logan Reddemann"", ""position"": ""RHP"", ""school"": ""UCLA"", ""consensus_rank"": 23}, {""pick"": 24, ""team"": ""Seattle Mariners"", ""player"": ""Trevor Condon"", ""position"": ""OF"", ""school"": ""Etowah"", ""consensus_rank"": 24}, {""pick"": 25, ""team"": ""Milwaukee Brewers"", ""player"": ""Ace Reese"", ""position"": ""3B"", ""school"": ""Mississippi State"", ""consensus_rank"": 25}, {""pick"": 26, ""team"": ""Atlanta Braves"", ""player"": ""Tegan Kuhns"", ""position"": ""RHP"", ""school"": ""Tennessee"", ""consensus_rank"": 27}, {""pick"": 27, ""team"": ""New York Mets"", ""player"": ""Bo Lowrance"", ""position"": ""3B"", ""school"": ""Christ Church Episcopal"", ""consensus_rank"": 28}, {""pick"": 28, ""team"": ""Houston Astros"", ""player"": ""Logan Schmidt"", ""position"": ""LHP"", ""school"": ""Ganesha"", ""consensus_rank"": 30}, {""pick"": 29, ""team"": ""San Francisco Giants"", ""player"": ""Carson Bolemon"", ""position"": ""LHP"", ""school"": ""Southside Christian HS (SC)"", ""consensus_rank"": 26}, {""pick"": 30, ""team"": ""Kansas City Royals"", ""player"": ""Zion Rose"", ""position"": ""OF"", ""school"": ""Louisville"", ""consensus_rank"": 29}, {""pick"": 31, ""team"": ""Arizona Diamondbacks"", ""player"": ""Aiden Ruiz"", ""position"": ""SS"", ""school"": ""The Stony Brook"", ""consensus_rank"": 34}, {""pick"": 32, ""team"": ""St. Louis Cardinals"", ""player"": ""Chase Brunson"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 31}, {""pick"": 33, ""team"": ""Tampa Bay Rays"", ""player"": ""Chris Rembert"", ""position"": ""2B"", ""school"": ""Auburn"", ""consensus_rank"": 35}, {""pick"": 34, ""team"": ""Pittsburgh Pirates"", ""player"": ""Will Brick"", ""position"": ""C"", ""school"": ""Christian Brothers Academy"", ""consensus_rank"": 36}, {""pick"": 35, ""team"": ""New York Yankees"", ""player"": ""Brody Bumila"", ""position"": ""LHP"", ""school"": ""Bishop Feehan HS (Attleboro, Mass.)"", ""consensus_rank"": 33}, {""pick"": 36, ""team"": ""Philadelphia Phillies"", ""player"": ""Mason Edwards"", ""position"": ""LHP"", ""school"": ""USC"", ""consensus_rank"": 32}, {""pick"": 37, ""team"": ""Colorado Rockies"", ""player"": ""Caden Sorrell"", ""position"": ""OF"", ""school"": ""Texas A&M"", ""consensus_rank"": 38}]",0,1
a0d74fde,test,test,2026-06-25 20:16 UTC,realistic,1,"[{""pick"": 1, ""team"": ""Chicago White Sox"", ""player"": ""Roch Cholowsky"", ""position"": ""SS"", ""school"": ""UCLA"", ""consensus_rank"": 1}, {""pick"": 2, ""team"": ""Tampa Bay Rays"", ""player"": ""Vahn Lackey"", ""position"": ""C"", ""school"": ""Georgia Tech"", ""consensus_rank"": 2}, {""pick"": 3, ""team"": ""Minnesota Twins"", ""player"": ""Grady Emerson"", ""position"": ""SS"", ""school"": ""Fort Worth Christian HS, North Richland Hills, Texas"", ""consensus_rank"": 3}, {""pick"": 4, ""team"": ""San Francisco Giants"", ""player"": ""Jackson Flora"", ""position"": ""RHP"", ""school"": ""UC Santa Barbara"", ""consensus_rank"": 4}, {""pick"": 5, ""team"": ""Pittsburgh Pirates"", ""player"": ""Eric Booth Jr."", ""position"": ""OF"", ""school"": ""Oak Grove HS (MS)"", ""consensus_rank"": 5}, {""pick"": 6, ""team"": ""Kansas City Royals"", ""player"": ""Drew Burress"", ""position"": ""OF"", ""school"": ""Georgia Tech"", ""consensus_rank"": 6}, {""pick"": 7, ""team"": ""Baltimore Orioles"", ""player"": ""Jacob Lombard"", ""position"": ""SS"", ""school"": ""Gulliver Prep"", ""consensus_rank"": 7}, {""pick"": 8, ""team"": ""Athletics"", ""player"": ""Ryder Helfrick"", ""position"": ""C"", ""school"": ""Arkansas"", ""consensus_rank"": 8}, {""pick"": 9, ""team"": ""Atlanta Braves"", ""player"": ""Derek Curiel"", ""position"": ""OF"", ""school"": ""LSU"", ""consensus_rank"": 9}, {""pick"": 10, ""team"": ""Colorado Rockies"", ""player"": ""Chris Hacopian"", ""position"": ""2B"", ""school"": ""Texas A&M"", ""consensus_rank"": 10}, {""pick"": 11, ""team"": ""Washington Nationals"", ""player"": ""Jared Grindlinger"", ""position"": ""OF"", ""school"": ""Huntington Beach (Calif.) HS"", ""consensus_rank"": 13}, {""pick"": 12, ""team"": ""Los Angeles Angels"", ""player"": ""Cameron Flukey"", ""position"": ""RHP"", ""school"": ""Coastal Carolina"", ""consensus_rank"": 12}, {""pick"": 13, ""team"": ""St. Louis Cardinals"", ""player"": ""Justin Lebron"", ""position"": ""SS"", ""school"": ""Alabama"", ""consensus_rank"": 11}, {""pick"": 14, ""team"": ""Miami Marlins"", ""player"": ""Tyler Bell"", ""position"": ""SS"", ""school"": ""Kentucky"", ""consensus_rank"": 14}, {""pick"": 15, ""team"": ""Arizona Diamondbacks"", ""player"": ""Gio Rojas"", ""position"": ""LHP"", ""school"": ""Stoneman Douglas HS, Parkland, Fla"", ""consensus_rank"": 15}, {""pick"": 16, ""team"": ""Texas Rangers"", ""player"": ""Liam Peterson"", ""position"": ""RHP"", ""school"": ""Florida"", ""consensus_rank"": 17}, {""pick"": 17, ""team"": ""Houston Astros"", ""player"": ""Trevor Condon"", ""position"": ""OF"", ""school"": ""Etowah"", ""consensus_rank"": 19}, {""pick"": 18, ""team"": ""Cincinnati Reds"", ""player"": ""Sawyer Strosnider"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 16}, {""pick"": 19, ""team"": ""Cleveland Guardians"", ""player"": ""AJ Gracia"", ""position"": ""OF"", ""school"": ""Virginia"", ""consensus_rank"": 18}, {""pick"": 20, ""team"": ""Boston Red Sox"", ""player"": ""Cade Townsend"", ""position"": ""RHP"", ""school"": ""Mississippi"", ""consensus_rank"": 20}, {""pick"": 21, ""team"": ""San Diego Padres"", ""player"": ""Hunter Dietz"", ""position"": ""LHP"", ""school"": ""Arkansas"", ""consensus_rank"": 21}, {""pick"": 22, ""team"": ""Detroit Tigers"", ""player"": ""Cole Carlon"", ""position"": ""LHP"", ""school"": ""Arizona State"", ""consensus_rank"": 22}, {""pick"": 23, ""team"": ""Chicago Cubs"", ""player"": ""Ace Reese"", ""position"": ""3B"", ""school"": ""Mississippi State"", ""consensus_rank"": 23}, {""pick"": 24, ""team"": ""Seattle Mariners"", ""player"": ""Bo Lowrance"", ""position"": ""3B"", ""school"": ""Christ Church Episcopal (Greenville, SC)"", ""consensus_rank"": 26}, {""pick"": 25, ""team"": ""Milwaukee Brewers"", ""player"": ""Logan Reddemann"", ""position"": ""RHP"", ""school"": ""UCLA"", ""consensus_rank"": 25}, {""pick"": 26, ""team"": ""Atlanta Braves"", ""player"": ""Zion Rose"", ""position"": ""OF"", ""school"": ""Louisville"", ""consensus_rank"": 27}, {""pick"": 27, ""team"": ""New York Mets"", ""player"": ""Tegan Kuhns"", ""position"": ""RHP"", ""school"": ""Tennessee"", ""consensus_rank"": 24}, {""pick"": 28, ""team"": ""Houston Astros"", ""player"": ""Eric Becker"", ""position"": ""SS"", ""school"": ""Virginia"", ""consensus_rank"": 30}, {""pick"": 29, ""team"": ""San Francisco Giants"", ""player"": ""Logan Schmidt"", ""position"": ""LHP"", ""school"": ""Ganesha (Aliso Vieja, CA)"", ""consensus_rank"": 28}, {""pick"": 30, ""team"": ""Kansas City Royals"", ""player"": ""Brody Bumila"", ""position"": ""LHP"", ""school"": ""Bishop Feehan HS, Attleboro, Mass"", ""consensus_rank"": 29}, {""pick"": 31, ""team"": ""Arizona Diamondbacks"", ""player"": ""Chase Brunson"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 33}, {""pick"": 32, ""team"": ""St. Louis Cardinals"", ""player"": ""Carson Bolemon"", ""position"": ""LHP"", ""school"": ""Southside Christian School (Simpsonville, SC)"", ""consensus_rank"": 31}, {""pick"": 33, ""team"": ""Tampa Bay Rays"", ""player"": ""Coleman Borthwick"", ""position"": ""RHP"", ""school"": ""South Walton HS (Santa Rosa Beach, Fla.)"", ""consensus_rank"": 35}, {""pick"": 34, ""team"": ""Pittsburgh Pirates"", ""player"": ""Jack Radel"", ""position"": ""RHP"", ""school"": ""Notre Dame"", ""consensus_rank"": 38}, {""pick"": 35, ""team"": ""New York Yankees"", ""player"": ""Aiden Ruiz"", ""position"": ""SS"", ""school"": ""The Stony Brook School (Long Island, NY)"", ""consensus_rank"": 34}, {""pick"": 36, ""team"": ""Philadelphia Phillies"", ""player"": ""Mason Edwards"", ""position"": ""LHP"", ""school"": ""USC"", ""consensus_rank"": 32}, {""pick"": 37, ""team"": ""Colorado Rockies"", ""player"": ""Caden Sorrell"", ""position"": ""OF"", ""school"": ""Texas A&M"", ""consensus_rank"": 37}]",0,1
fd6bc224,test,test,2026-06-25 20:16 UTC,realistic,1,"[{""pick"": 1, ""team"": ""Chicago White Sox"", ""player"": ""Roch Cholowsky"", ""position"": ""SS"", ""school"": ""UCLA"", ""consensus_rank"": 1}, {""pick"": 2, ""team"": ""Tampa Bay Rays"", ""player"": ""Vahn Lackey"", ""position"": ""C"", ""school"": ""Georgia Tech"", ""consensus_rank"": 2}, {""pick"": 3, ""team"": ""Minnesota Twins"", ""player"": ""Grady Emerson"", ""position"": ""SS"", ""school"": ""Fort Worth Christian HS, North Richland Hills, Texas"", ""consensus_rank"": 3}, {""pick"": 4, ""team"": ""San Francisco Giants"", ""player"": ""Jackson Flora"", ""position"": ""RHP"", ""school"": ""UC Santa Barbara"", ""consensus_rank"": 4}, {""pick"": 5, ""team"": ""Pittsburgh Pirates"", ""player"": ""Eric Booth Jr."", ""position"": ""OF"", ""school"": ""Oak Grove HS (MS)"", ""consensus_rank"": 5}, {""pick"": 6, ""team"": ""Kansas City Royals"", ""player"": ""Drew Burress"", ""position"": ""OF"", ""school"": ""Georgia Tech"", ""consensus_rank"": 6}, {""pick"": 7, ""team"": ""Baltimore Orioles"", ""player"": ""Jacob Lombard"", ""position"": ""SS"", ""school"": ""Gulliver Prep"", ""consensus_rank"": 7}, {""pick"": 8, ""team"": ""Athletics"", ""player"": ""Ryder Helfrick"", ""position"": ""C"", ""school"": ""Arkansas"", ""consensus_rank"": 8}, {""pick"": 9, ""team"": ""Atlanta Braves"", ""player"": ""Derek Curiel"", ""position"": ""OF"", ""school"": ""LSU"", ""consensus_rank"": 9}, {""pick"": 10, ""team"": ""Colorado Rockies"", ""player"": ""Chris Hacopian"", ""position"": ""2B"", ""school"": ""Texas A&M"", ""consensus_rank"": 10}, {""pick"": 11, ""team"": ""Washington Nationals"", ""player"": ""Jared Grindlinger"", ""position"": ""OF"", ""school"": ""Huntington Beach (Calif.) HS"", ""consensus_rank"": 13}, {""pick"": 12, ""team"": ""Los Angeles Angels"", ""player"": ""Cameron Flukey"", ""position"": ""RHP"", ""school"": ""Coastal Carolina"", ""consensus_rank"": 12}, {""pick"": 13, ""team"": ""St. Louis Cardinals"", ""player"": ""Justin Lebron"", ""position"": ""SS"", ""school"": ""Alabama"", ""consensus_rank"": 11}, {""pick"": 14, ""team"": ""Miami Marlins"", ""player"": ""Tyler Bell"", ""position"": ""SS"", ""school"": ""Kentucky"", ""consensus_rank"": 14}, {""pick"": 15, ""team"": ""Arizona Diamondbacks"", ""player"": ""Gio Rojas"", ""position"": ""LHP"", ""school"": ""Stoneman Douglas HS, Parkland, Fla"", ""consensus_rank"": 15}, {""pick"": 16, ""team"": ""Texas Rangers"", ""player"": ""Liam Peterson"", ""position"": ""RHP"", ""school"": ""Florida"", ""consensus_rank"": 17}, {""pick"": 17, ""team"": ""Houston Astros"", ""player"": ""Trevor Condon"", ""position"": ""OF"", ""school"": ""Etowah"", ""consensus_rank"": 19}, {""pick"": 18, ""team"": ""Cincinnati Reds"", ""player"": ""Sawyer Strosnider"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 16}, {""pick"": 19, ""team"": ""Cleveland Guardians"", ""player"": ""AJ Gracia"", ""position"": ""OF"", ""school"": ""Virginia"", ""consensus_rank"": 18}, {""pick"": 20, ""team"": ""Boston Red Sox"", ""player"": ""Cade Townsend"", ""position"": ""RHP"", ""school"": ""Mississippi"", ""consensus_rank"": 20}, {""pick"": 21, ""team"": ""San Diego Padres"", ""player"": ""Hunter Dietz"", ""position"": ""LHP"", ""school"": ""Arkansas"", ""consensus_rank"": 21}, {""pick"": 22, ""team"": ""Detroit Tigers"", ""player"": ""Cole Carlon"", ""position"": ""LHP"", ""school"": ""Arizona State"", ""consensus_rank"": 22}, {""pick"": 23, ""team"": ""Chicago Cubs"", ""player"": ""Ace Reese"", ""position"": ""3B"", ""school"": ""Mississippi State"", ""consensus_rank"": 23}, {""pick"": 24, ""team"": ""Seattle Mariners"", ""player"": ""Bo Lowrance"", ""position"": ""3B"", ""school"": ""Christ Church Episcopal (Greenville, SC)"", ""consensus_rank"": 26}, {""pick"": 25, ""team"": ""Milwaukee Brewers"", ""player"": ""Logan Reddemann"", ""position"": ""RHP"", ""school"": ""UCLA"", ""consensus_rank"": 25}, {""pick"": 26, ""team"": ""Atlanta Braves"", ""player"": ""Zion Rose"", ""position"": ""OF"", ""school"": ""Louisville"", ""consensus_rank"": 27}, {""pick"": 27, ""team"": ""New York Mets"", ""player"": ""Tegan Kuhns"", ""position"": ""RHP"", ""school"": ""Tennessee"", ""consensus_rank"": 24}, {""pick"": 28, ""team"": ""Houston Astros"", ""player"": ""Eric Becker"", ""position"": ""SS"", ""school"": ""Virginia"", ""consensus_rank"": 30}, {""pick"": 29, ""team"": ""San Francisco Giants"", ""player"": ""Logan Schmidt"", ""position"": ""LHP"", ""school"": ""Ganesha (Aliso Vieja, CA)"", ""consensus_rank"": 28}, {""pick"": 30, ""team"": ""Kansas City Royals"", ""player"": ""Brody Bumila"", ""position"": ""LHP"", ""school"": ""Bishop Feehan HS, Attleboro, Mass"", ""consensus_rank"": 29}, {""pick"": 31, ""team"": ""Arizona Diamondbacks"", ""player"": ""Chase Brunson"", ""position"": ""OF"", ""school"": ""TCU"", ""consensus_rank"": 33}, {""pick"": 32, ""team"": ""St. Louis Cardinals"", ""player"": ""Carson Bolemon"", ""position"": ""LHP"", ""school"": ""Southside Christian School (Simpsonville, SC)"", ""consensus_rank"": 31}, {""pick"": 33, ""team"": ""Tampa Bay Rays"", ""player"": ""Coleman Borthwick"", ""position"": ""RHP"", ""school"": ""South Walton HS (Santa Rosa Beach, Fla.)"", ""consensus_rank"": 35}, {""pick"": 34, ""team"": ""Pittsburgh Pirates"", ""player"": ""Jack Radel"", ""position"": ""RHP"", ""school"": ""Notre Dame"", ""consensus_rank"": 38}, {""pick"": 35, ""team"": ""New York Yankees"", ""player"": ""Aiden Ruiz"", ""position"": ""SS"", ""school"": ""The Stony Brook School (Long Island, NY)"", ""consensus_rank"": 34}, {""pick"": 36, ""team"": ""Philadelphia Phillies"", ""player"": ""Mason Edwards"", ""position"": ""LHP"", ""school"": ""USC"", ""consensus_rank"": 32}, {""pick"": 37, ""team"": ""Colorado Rockies"", ""player"": ""Caden Sorrell"", ""position"": ""OF"", ""school"": ""Texas A&M"", ""consensus_rank"": 37}]",0,1
