year,overall,round,team,player,position,school,level
2025,31,1,Baltimore Orioles,Wehiwa Aloy,SS,University of Arkansas,College
2025,32,1,Milwaukee Brewers,Brady Ebel,SS,Corona HS,HS
2025,33,1,Boston Red Sox,Marcus Phillips,P,University of Tennessee,College
2025,34,1,Detroit Tigers,Michael Oliveto,C,Hauppauge HS,HS
2025,35,1,Seattle Mariners,Luke Stevenson,C,University of North Carolina at Chapel Hill,College
2025,36,1,Minnesota Twins,Riley Quick,P,University of Alabama,College
2025,37,1,Baltimore Orioles,Slater de Brun,OF,Summit HS,HS
2025,38,1,New York Mets,Mitch Voit,TWP,University of Michigan,College
2025,39,1,New York Yankees,Dax Kilby,SS,Newnan HS,HS
2025,40,1,Los Angeles Dodgers,Zach Root,P,University of Arkansas,College
2025,41,1,Los Angeles Dodgers,Charles Davalan,OF,University of Arkansas,College
2025,42,1,Tampa Bay Rays,Brendan Summerhill,OF,University of Arizona,College
2025,43,1,Miami Marlins,Cam Cannarella,OF,Clemson University,College
